Unnamed: 0,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
1,33.0,Portugal,POR,38.0,0.0,33,UEFA,1992-12-31
4,30.0,Algeria,ALG,39.0,0.0,30,CAF,1992-12-31
7,27.0,Ivory Coast,CIV,41.0,0.0,27,CAF,1992-12-31
8,34.0,Austria,AUT,38.0,0.0,34,UEFA,1992-12-31
10,24.0,United States,USA,43.0,0.0,24,CONCACAF,1992-12-31
11,23.0,Scotland,SCO,43.0,0.0,23,UEFA,1992-12-31
13,21.0,Egypt,EGY,45.0,0.0,21,CAF,1992-12-31
15,19.0,France,FRA,46.0,0.0,19,UEFA,1992-12-31
17,25.0,Mexico,MEX,43.0,0.0,25,CONCACAF,1992-12-31
18,35.0,Colombia,COL,36.0,0.0,35,CONMEBOL,1992-12-31
23,52.0,Qatar,QAT,27.0,0.0,52,AFC,1992-12-31
24,51.0,Senegal,SEN,27.0,0.0,51,CAF,1992-12-31
26,49.0,South Korea,KOR,28.0,0.0,49,AFC,1992-12-31
27,48.0,Saudi Arabia,KSA,28.0,0.0,48,AFC,1992-12-31
30,45.0,Australia,AUS,29.0,0.0,45,AFC,1992-12-31
33,42.0,Turkey,TUR,31.0,0.0,42,UEFA,1992-12-31
34,41.0,Morocco,MAR,32.0,0.0,41,CAF,1992-12-31
36,39.0,Ghana,GHA,34.0,0.0,39,CAF,1992-12-31
37,38.0,Tunisia,TUN,35.0,0.0,38,CAF,1992-12-31
38,17.0,Belgium,BEL,48.0,0.0,17,UEFA,1992-12-31
40,16.0,Uruguay,URU,48.0,0.0,16,CONMEBOL,1992-12-31
62,12.0,Switzerland,SUI,51.0,0.0,12,UEFA,1992-12-31
64,10.0,Argentina,ARG,51.0,0.0,10,CONMEBOL,1992-12-31
67,7.0,Netherlands,NED,54.0,0.0,7,UEFA,1992-12-31
69,5.0,England,ENG,55.0,0.0,5,UEFA,1992-12-31
70,4.0,Sweden,SWE,56.0,0.0,4,UEFA,1992-12-31
71,3.0,Brazil,BRA,56.0,0.0,3,CONMEBOL,1992-12-31
73,1.0,Germany,GER,57.0,0.0,1,UEFA,1992-12-31
79,15.0,Spain,ESP,49.0,0.0,15,UEFA,1992-12-31
81,14.0,Norway,NOR,49.0,0.0,14,UEFA,1992-12-31
87,113.0,Croatia,CRO,7.0,0.0,113,UEFA,1992-12-31
91,110.0,Jordan,JOR,8.0,0.0,110,AFC,1992-12-31
101,120.0,Panama,PAN,5.0,0.0,120,CONCACAF,1992-12-31
103,57.0,Canada,CAN,25.0,0.0,57,CONCACAF,1992-12-31
106,135.0,Cape Verde,CPV,3.0,0.0,135,CAF,1992-12-31
111,130.0,Haiti,HAI,4.0,0.0,130,CONCACAF,1992-12-31
117,124.0,South Africa,RSA,5.0,0.0,124,CAF,1992-12-31
129,70.0,New Zealand,NZL,22.0,0.0,70,OFC,1992-12-31
131,68.0,Paraguay,PAR,22.0,0.0,68,CONMEBOL,1992-12-31
133,66.0,Japan,JPN,22.0,0.0,66,AFC,1992-12-31
134,65.0,Ecuador,ECU,23.0,0.0,65,CONMEBOL,1992-12-31
138,61.0,Iran,IRN,24.0,0.0,61,AFC,1992-12-31
160,82.0,Iraq,IRQ,15.0,0.0,82,AFC,1992-12-31
169,109.0,South Africa,RSA,11.0,5.0,-15,CAF,1993-08-08
176,117.0,Croatia,CRO,9.0,7.0,4,UEFA,1993-08-08
188,87.0,Jordan,JOR,17.0,8.0,-23,AFC,1993-08-08
235,125.0,Panama,PAN,7.0,5.0,5,CONCACAF,1993-08-08
239,139.0,Haiti,HAI,3.0,4.0,9,CONCACAF,1993-08-08
243,143.0,Cape Verde,CPV,2.0,3.0,8,CAF,1993-08-08
250,22.0,Uruguay,URU,46.0,48.0,6,CONMEBOL,1993-08-08
251,23.0,Portugal,POR,46.0,38.0,-10,UEFA,1993-08-08
254,26.0,Egypt,EGY,44.0,45.0,5,CAF,1993-08-08
257,28.0,United States,USA,44.0,43.0,4,CONCACAF,1993-08-08
258,30.0,Scotland,SCO,42.0,43.0,7,UEFA,1993-08-08
259,31.0,Tunisia,TUN,40.0,35.0,-7,CAF,1993-08-08
261,33.0,Morocco,MAR,40.0,32.0,-8,CAF,1993-08-08
262,34.0,Algeria,ALG,40.0,39.0,4,CAF,1993-08-08
263,35.0,Ecuador,ECU,40.0,23.0,-30,CONMEBOL,1993-08-08
264,36.0,South Korea,KOR,40.0,28.0,-13,AFC,1993-08-08
265,29.0,Ivory Coast,CIV,43.0,41.0,2,CAF,1993-08-08
266,19.0,Colombia,COL,48.0,36.0,-16,CONMEBOL,1993-08-08
267,18.0,Belgium,BEL,48.0,48.0,1,UEFA,1993-08-08
269,80.0,New Zealand,NZL,21.0,22.0,10,OFC,1993-08-08
270,1.0,Germany,GER,58.0,57.0,0,UEFA,1993-08-08
272,3.0,Switzerland,SUI,57.0,51.0,-9,UEFA,1993-08-08
273,4.0,Sweden,SWE,56.0,56.0,0,UEFA,1993-08-08
274,5.0,Argentina,ARG,56.0,51.0,-5,CONMEBOL,1993-08-08
277,8.0,Brazil,BRA,54.0,56.0,5,CONMEBOL,1993-08-08
278,9.0,Norway,NOR,54.0,49.0,-5,UEFA,1993-08-08
280,11.0,England,ENG,53.0,55.0,6,UEFA,1993-08-08
281,12.0,France,FRA,52.0,46.0,-7,UEFA,1993-08-08
282,13.0,Spain,ESP,51.0,49.0,-2,UEFA,1993-08-08
283,14.0,Mexico,MEX,50.0,43.0,-11,CONCACAF,1993-08-08
285,16.0,Netherlands,NED,50.0,54.0,9,UEFA,1993-08-08
287,38.0,Austria,AUT,39.0,38.0,4,UEFA,1993-08-08
291,63.0,Turkey,TUR,29.0,31.0,21,UEFA,1993-08-08
295,67.0,Paraguay,PAR,27.0,22.0,-1,CONMEBOL,1993-08-08
310,58.0,Senegal,SEN,31.0,27.0,7,CAF,1993-08-08
313,43.0,Japan,JPN,35.0,22.0,-23,AFC,1993-08-08
314,44.0,Saudi Arabia,KSA,34.0,28.0,-4,AFC,1993-08-08
316,46.0,Canada,CAN,34.0,25.0,-11,CONCACAF,1993-08-08
318,48.0,Ghana,GHA,34.0,34.0,9,CAF,1993-08-08
321,51.0,Qatar,QAT,32.0,27.0,-1,AFC,1993-08-08
322,57.0,Iraq,IRQ,31.0,15.0,-25,AFC,1993-08-08
323,52.0,Australia,AUS,32.0,29.0,7,AFC,1993-08-08
325,54.0,Iran,IRN,32.0,24.0,-7,AFC,1993-08-08
329,59.0,Iraq,IRQ,30.0,31.0,2,AFC,1993-09-23
330,58.0,Iran,IRN,31.0,32.0,4,AFC,1993-09-23
331,57.0,Senegal,SEN,31.0,31.0,-1,CAF,1993-09-23
333,55.0,Paraguay,PAR,32.0,27.0,-12,CONMEBOL,1993-09-23
334,54.0,Qatar,QAT,32.0,32.0,3,AFC,1993-09-23
341,46.0,Canada,CAN,34.0,34.0,0,CONCACAF,1993-09-23
343,44.0,Saudi Arabia,KSA,34.0,34.0,0,AFC,1993-09-23
350,43.0,Japan,JPN,35.0,35.0,0,AFC,1993-09-23
363,66.0,Turkey,TUR,27.0,29.0,3,UEFA,1993-09-23
364,65.0,Australia,AUS,29.0,32.0,13,AFC,1993-09-23
367,42.0,Ghana,GHA,37.0,34.0,-6,CAF,1993-09-23
371,16.0,Mexico,MEX,51.0,50.0,2,CONCACAF,1993-09-23
372,15.0,Uruguay,URU,51.0,46.0,-7,CONMEBOL,1993-09-23
373,14.0,Spain,ESP,53.0,51.0,1,UEFA,1993-09-23
374,13.0,Netherlands,NED,53.0,50.0,-3,UEFA,1993-09-23
375,12.0,Argentina,ARG,55.0,56.0,7,CONMEBOL,1993-09-23
376,11.0,Sweden,SWE,55.0,56.0,7,UEFA,1993-09-23
377,10.0,Switzerland,SUI,55.0,57.0,7,UEFA,1993-09-23
380,7.0,France,FRA,56.0,52.0,-5,UEFA,1993-09-23
381,5.0,Germany,GER,56.0,58.0,4,UEFA,1993-09-23
382,5.0,England,ENG,56.0,53.0,-6,UEFA,1993-09-23
384,3.0,Norway,NOR,57.0,54.0,-6,UEFA,1993-09-23
386,1.0,Brazil,BRA,59.0,54.0,-7,CONMEBOL,1993-09-23
388,19.0,Colombia,COL,50.0,48.0,0,CONMEBOL,1993-09-23
390,21.0,Portugal,POR,47.0,46.0,-2,UEFA,1993-09-23
394,36.0,South Korea,KOR,39.0,40.0,0,AFC,1993-09-23
396,34.0,Tunisia,TUN,41.0,40.0,3,CAF,1993-09-23
397,33.0,Austria,AUT,41.0,39.0,-5,UEFA,1993-09-23
398,32.0,Morocco,MAR,42.0,40.0,-1,CAF,1993-09-23
399,41.0,Ecuador,ECU,37.0,40.0,6,CONMEBOL,1993-09-23
400,31.0,Ivory Coast,CIV,43.0,43.0,2,CAF,1993-09-23
402,28.0,Scotland,SCO,44.0,42.0,-2,UEFA,1993-09-23
404,26.0,United States,USA,45.0,44.0,-2,CONCACAF,1993-09-23
405,25.0,Egypt,EGY,45.0,44.0,-1,CAF,1993-09-23
406,24.0,Belgium,BEL,45.0,48.0,6,UEFA,1993-09-23
