date,home_team,away_team,home_score,away_score,goal_diff,tournament,country,neutral,home_is_host,elo_diff,home_higher_elo,home_recent_win_rate,away_recent_win_rate,recent_form_diff,home_avg_goals_last10,away_avg_goals_last10,diff_in_avg_goals,home_total_goals_last10,away_total_goals_last10,home_total_conceded_last10,away_total_conceded_last10,diff_in_total_conceded,tournament_weight,match_result
2000-01-04,Egypt,Togo,2,1,1,Friendly,Egypt,False,1,140.0,1,0.2,0.0,0.2,1.0,0.9,0.09999999999999998,10.0,9.0,15.0,17.0,-2.0,1,home_win
2000-01-07,Tunisia,Togo,7,0,7,Friendly,Tunisia,False,1,180.0,1,0.6,0.0,0.6,1.3,0.8,0.5,13.0,8.0,5.0,16.0,-11.0,1,home_win
2000-01-08,Trinidad and Tobago,Canada,0,0,0,Friendly,Trinidad and Tobago,False,1,106.0,1,0.7,0.5,0.19999999999999996,2.9,1.0,1.9,29.0,10.0,12.0,8.0,4.0,1,draw
2000-01-09,Ivory Coast,Egypt,2,0,2,Friendly,Ivory Coast,False,1,-41.0,0,0.5,0.3,0.2,1.3,1.2,0.10000000000000009,13.0,12.0,8.0,16.0,-8.0,1,home_win
2000-01-09,Mexico,Iran,2,1,1,Friendly,United States,True,0,181.0,1,0.5,0.6,-0.09999999999999998,1.5,1.6,-0.10000000000000009,15.0,16.0,10.0,6.0,4.0,1,home_win
2000-01-09,Burkina Faso,Gabon,1,1,0,Friendly,Burkina Faso,False,1,4.0,1,0.3,0.6,-0.3,1.6,1.4,0.20000000000000018,16.0,14.0,19.0,8.0,11.0,1,draw
2000-01-09,Guatemala,Armenia,1,1,0,Friendly,United States,True,0,30.0,1,0.3,0.2,0.09999999999999998,0.8,0.7,0.10000000000000009,8.0,7.0,10.0,16.0,-6.0,1,draw
2000-01-11,Bermuda,Canada,0,2,-2,Friendly,Bermuda,False,1,-293.0,0,0.5,0.5,0.0,1.9,0.9,0.9999999999999999,19.0,9.0,12.0,7.0,5.0,1,away_win
2000-01-11,Burkina Faso,Cameroon,2,2,0,Friendly,Burkina Faso,False,1,-41.0,0,0.3,0.5,-0.2,1.6,1.4,0.20000000000000018,16.0,14.0,19.0,7.0,12.0,1,draw
2000-01-13,Senegal,Cameroon,0,0,0,Friendly,Senegal,False,1,-57.0,0,0.5,0.5,0.0,2.0,1.6,0.3999999999999999,20.0,16.0,8.0,9.0,-1.0,1,draw
2000-01-14,China PR,New Zealand,1,0,1,Friendly,China PR,False,1,31.0,1,0.7,0.2,0.49999999999999994,2.7,1.1,1.6,27.0,11.0,7.0,14.0,-7.0,1,home_win
2000-01-16,Jamaica,New Zealand,2,1,1,Friendly,China PR,True,0,158.0,1,0.3,0.2,0.09999999999999998,1.2,1.1,0.09999999999999987,12.0,11.0,17.0,14.0,3.0,1,home_win
2000-01-16,United States,Iran,1,1,0,Friendly,United States,False,1,95.0,1,0.5,0.5,0.0,1.4,1.5,-0.10000000000000009,14.0,15.0,10.0,7.0,3.0,1,draw
2000-01-18,Ghana,Tunisia,2,0,2,Friendly,Ghana,False,1,-71.0,0,0.5,0.7,-0.19999999999999996,0.9,1.9,-0.9999999999999999,9.0,19.0,6.0,4.0,2.0,1,home_win
2000-01-18,Morocco,Trinidad and Tobago,1,0,1,Friendly,Morocco,False,1,79.0,1,0.5,0.7,-0.19999999999999996,1.2,2.8,-1.5999999999999999,12.0,28.0,11.0,10.0,1.0,1,home_win
2000-01-19,Panama,Guatemala,2,0,2,Friendly,Panama,False,1,-240.0,0,0.3,0.3,0.0,1.0,0.9,0.09999999999999998,10.0,9.0,16.0,10.0,6.0,1,home_win
2000-01-19,Togo,Egypt,1,0,1,Friendly,Togo,False,1,-145.0,0,0.0,0.3,-0.3,0.7,1.2,-0.5,7.0,12.0,22.0,16.0,6.0,1,home_win
2000-01-20,Malta,Qatar,2,0,2,Friendly,Malta,False,1,-49.0,0,0.1,0.4,-0.30000000000000004,0.8,1.1,-0.30000000000000004,8.0,11.0,20.0,10.0,10.0,1,home_win
2000-01-20,Burkina Faso,Algeria,1,0,1,Friendly,Burkina Faso,False,1,32.0,1,0.2,0.4,-0.2,1.6,1.4,0.20000000000000018,16.0,14.0,20.0,10.0,10.0,1,home_win
2000-01-21,New Zealand,South Korea,0,1,-1,Friendly,New Zealand,False,1,-141.0,0,0.2,0.5,-0.3,1.0,1.4,-0.3999999999999999,10.0,14.0,14.0,7.0,7.0,1,away_win
2000-01-22,Ghana,Cameroon,1,1,0,African Cup of Nations,Ghana,False,1,25.0,1,0.6,0.4,0.19999999999999996,1.1,1.4,-0.2999999999999998,11.0,14.0,5.0,9.0,-4.0,4,draw
2000-01-23,China PR,Philippines,8,0,8,AFC Asian Cup qualification,Vietnam,True,0,337.0,1,0.7,0.0,0.7,2.5,0.7,1.8,25.0,7.0,7.0,32.0,-25.0,2,home_win
2000-01-23,Egypt,Zambia,2,0,2,African Cup of Nations,Nigeria,True,0,-13.0,0,0.3,0.2,0.09999999999999998,1.1,0.7,0.40000000000000013,11.0,7.0,16.0,14.0,2.0,4,home_win
2000-01-23,New Zealand,South Korea,0,0,0,Friendly,New Zealand,False,1,-141.0,0,0.1,0.5,-0.4,0.9,1.1,-0.20000000000000007,9.0,11.0,15.0,7.0,8.0,1,draw
2000-01-23,Nigeria,Tunisia,4,2,2,African Cup of Nations,Nigeria,False,1,-160.0,0,0.4,0.6,-0.19999999999999996,1.0,1.6,-0.6000000000000001,10.0,16.0,19.0,6.0,13.0,4,home_win
2000-01-23,South Africa,Gabon,3,1,2,African Cup of Nations,Ghana,True,0,141.0,1,0.3,0.5,-0.2,0.9,1.1,-0.20000000000000007,9.0,11.0,8.0,9.0,-1.0,4,home_win
2000-01-23,Vietnam,Guam,11,0,11,AFC Asian Cup qualification,Vietnam,False,1,370.0,1,0.5,0.0,0.5,1.6,0.1,1.5,16.0,1.0,9.0,96.0,-87.0,2,home_win
2000-01-24,DR Congo,Algeria,0,0,0,African Cup of Nations,Ghana,True,0,72.0,1,0.4,0.4,0.0,1.4,1.3,0.09999999999999987,14.0,13.0,13.0,9.0,4.0,4,draw
2000-01-24,Ivory Coast,Togo,1,1,0,African Cup of Nations,Ghana,True,0,116.0,1,0.5,0.1,0.4,1.4,0.7,0.7,14.0,7.0,8.0,20.0,-12.0,4,draw
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,2,Friendly,Qatar,False,1,-89.0,0,0.4,0.2,0.2,0.9,1.3,-0.4,9.0,13.0,6.0,16.0,-10.0,1,home_win
2000-01-25,Morocco,Congo,1,0,1,African Cup of Nations,Nigeria,True,0,217.0,1,0.5,0.5,0.0,1.1,1.3,-0.19999999999999996,11.0,13.0,11.0,11.0,0.0,4,home_win
2000-01-25,Burkina Faso,Senegal,1,3,-2,African Cup of Nations,Nigeria,True,0,14.0,1,0.3,0.5,-0.2,1.5,1.9,-0.3999999999999999,15.0,19.0,15.0,7.0,8.0,4,away_win
2000-01-26,China PR,Guam,19,0,19,AFC Asian Cup qualification,Vietnam,True,0,408.0,1,0.8,0.0,0.8,3.3,0.1,3.1999999999999997,33.0,1.0,7.0,95.0,-88.0,2,home_win
2000-01-26,Costa Rica,Trinidad and Tobago,2,1,1,Friendly,Costa Rica,False,1,-54.0,0,0.5,0.6,-0.09999999999999998,2.3,2.6,-0.30000000000000027,23.0,26.0,12.0,11.0,1.0,1,home_win
2000-01-26,Guatemala,Panama,1,1,0,Friendly,Guatemala,False,1,240.0,1,0.2,0.4,-0.2,0.8,1.2,-0.3999999999999999,8.0,12.0,12.0,16.0,-4.0,1,draw
2000-01-26,Spain,Poland,3,0,3,Friendly,Spain,False,1,164.0,1,0.8,0.4,0.4,4.3,1.0,3.3,43.0,10.0,5.0,11.0,-6.0,1,home_win
2000-01-26,Uganda,Libya,3,2,1,Friendly,Uganda,False,1,77.0,1,0.3,0.5,-0.2,0.5,1.6,-1.1,5.0,16.0,9.0,16.0,-7.0,1,home_win
2000-01-26,Vietnam,Philippines,3,0,3,AFC Asian Cup qualification,Vietnam,False,1,299.0,1,0.6,0.0,0.6,2.6,0.7,1.9000000000000001,26.0,7.0,8.0,39.0,-31.0,2,home_win
2000-01-27,Ghana,Togo,2,0,2,African Cup of Nations,Ghana,False,1,113.0,1,0.5,0.1,0.4,1.1,0.8,0.30000000000000004,11.0,8.0,6.0,20.0,-14.0,4,home_win
2000-01-27,South Africa,DR Congo,1,0,1,African Cup of Nations,Ghana,True,0,104.0,1,0.4,0.4,0.0,1.1,1.3,-0.19999999999999996,11.0,13.0,8.0,11.0,-3.0,4,home_win
2000-01-28,United States Virgin Islands,Saint Lucia,0,9,-9,Friendly,United States Virgin Islands,False,1,-182.0,0,0.3333333333333333,0.3,0.033333333333333326,1.0,1.6,-0.6000000000000001,3.0,16.0,2.0,15.0,-13.0,1,away_win
2000-01-28,Nigeria,Congo,0,0,0,African Cup of Nations,Nigeria,False,1,48.0,1,0.5,0.4,0.09999999999999998,1.4,1.0,0.3999999999999999,14.0,10.0,18.0,12.0,6.0,4,draw
2000-01-28,Egypt,Senegal,1,0,1,African Cup of Nations,Nigeria,True,0,119.0,1,0.4,0.6,-0.19999999999999996,1.2,2.1,-0.9000000000000001,12.0,21.0,15.0,6.0,9.0,4,home_win
2000-01-28,Cameroon,Ivory Coast,3,0,3,African Cup of Nations,Ghana,True,0,-28.0,0,0.3,0.4,-0.10000000000000003,1.3,1.2,0.10000000000000009,13.0,12.0,9.0,8.0,1.0,4,home_win
2000-01-29,Algeria,Gabon,3,1,2,African Cup of Nations,Ghana,True,0,-35.0,0,0.4,0.4,0.0,1.2,1.1,0.09999999999999987,12.0,11.0,7.0,12.0,-5.0,4,home_win
2000-01-29,Chile,United States,1,2,-1,Friendly,Chile,False,1,-1.0,0,0.4,0.4,0.0,1.4,1.2,0.19999999999999996,14.0,12.0,10.0,10.0,0.0,1,away_win
2000-01-29,Philippines,Guam,2,0,2,AFC Asian Cup qualification,Vietnam,True,0,71.0,1,0.0,0.0,0.0,0.7,0.1,0.6,7.0,1.0,41.0,108.0,-67.0,2,home_win
2000-01-29,Tunisia,Morocco,0,0,0,African Cup of Nations,Nigeria,True,0,-9.0,0,0.6,0.6,0.0,1.8,1.2,0.6000000000000001,18.0,12.0,9.0,10.0,-1.0,4,draw
2000-01-29,Vietnam,China PR,0,2,-2,AFC Asian Cup qualification,Vietnam,False,1,-38.0,0,0.7,0.8,-0.10000000000000009,2.9,4.8,-1.9,29.0,48.0,6.0,6.0,0.0,2,away_win
2000-01-29,Zambia,Burkina Faso,1,1,0,African Cup of Nations,Nigeria,True,0,118.0,1,0.2,0.2,0.0,0.6,1.3,-0.7000000000000001,6.0,13.0,15.0,17.0,-2.0,4,draw
2000-01-30,United States Virgin Islands,Saint Lucia,0,2,-2,Friendly,United States Virgin Islands,False,1,-182.0,0,0.25,0.4,-0.15000000000000002,0.75,2.4,-1.65,3.0,24.0,11.0,14.0,-3.0,1,away_win
2000-01-31,Faroe Islands,Finland,0,1,-1,Nordic Championship,Spain,True,0,-178.0,0,0.0,0.2,-0.2,0.4,1.5,-1.1,4.0,15.0,13.0,18.0,-5.0,2,away_win
2000-01-31,Kuwait,Syria,4,0,4,Friendly,Kuwait,False,1,89.0,1,0.3,0.3,0.0,2.5,1.0,1.5,25.0,10.0,11.0,17.0,-6.0,1,home_win
2000-01-31,Cameroon,Togo,0,1,-1,African Cup of Nations,Ghana,True,0,88.0,1,0.4,0.1,0.30000000000000004,1.5,0.7,0.8,15.0,7.0,8.0,21.0,-13.0,4,away_win
